Active Actions Published in the Unified Agenda,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Final Rules,Proposed Rules,Prerules,Total,,,,,,,,,,,,,,,,,,,
Spring 2023,1031,1473,113,2617,,,,,,,,,,,,,,,,,,,
Fall 2022,1002,1532,117,2651,,,,,,,,,,,,,,,,,,,
Spring 2022,1016,1532,125,2673,,,,,,,,,,,,,,,,,,,
Fall 2021,977,1566,135,2678,,,,,,,,,,,,,,,,,,,
Spring 2021,983,1424,144,2551,,,,,,,,,,,,,,,,,,,
Fall 2020,1054,1427,155,2636,,,,,,,,,,,,,,,,,,,
Spring 2020,1066,1461,170,2697,,,,,,,,,,,,,,,,,,,
Fall 2019,938,1502,162,2602,,,,,,,,,,,,,,,,,,,
Spring 2019,989,1474,134,2597,,,,,,,,,,,,,,,,,,,
Fall 2018,876,1390,133,2399,,,,,,,,,,,,,,,,,,,
Spring 2018,879,1223,122,2224,,,,,,,,,,,,,,,,,,,
Fall 2017,873,1018,86,1977,,,,,,,,,,,,,,,,,,,
 Spring 2017,790,834,107,1731,,,,,,,,,,,,,,,,,,,
Fall 2016,1019,966,110,2095,,,,,,,,,,,,,,,,,,,
Spring 2016,1034,1092,113,2239,,,,,,,,,,,,,,,,,,,
Fall 2015,1043,1099,102,2244,,,,,,,,,,,,,,,,,,,
Spring 2015,1054,1171,98,2323,,,,,,,,,,,,,,,,,,,
Fall 2014,988,1231,102,2321,,,,,,,,,,,,,,,,,,,
Spring 2014,1000,1291,98,2389,,,,,,,,,,,,,,,,,,,
Fall 2013,988,1317,92,2397,,,,,,,,,,,,,,,,,,,
Spring 2013,1087,1310,85,2482,,,,,,,,,,,,,,,,,,,
2012*,1063,1242,82,2387,,,,,,,,,,,,,,,,,,,
Fall 2011,1177,1399,100,2676,,,,,,,,,,,,,,,,,,,
Spring 2011,1276,1509,79,2864,,,,,,,,,,,,,,,,,,,
Fall 2010,1197,1420,79,2696,,,,,,,,,,,,,,,,,,,
Spring 2010,1123,1464,89,2676,,,,,,,,,,,,,,,,,,,
Fall 2009,1165,1370,95,2630,,,,,,,,,,,,,,,,,,,
Spring 2009,1111,1271,97,2479,,,,,,,,,,,,,,,,,,,
Fall 2008,1166,1214,84,2464,,,,,,,,,,,,,,,,,,,
Spring 2008,1132,1272,84,2488,,,,,,,,,,,,,,,,,,,
Fall 2007,1122,1226,76,2424,,,,,,,,,,,,,,,,,,,
Spring 2007,1105,1259,68,2432,,,,,,,,,,,,,,,,,,,
Fall 2006,1162,1155,73,2390,,,,,,,,,,,,,,,,,,,
Spring 2006,1197,1311,79,2587,,,,,,,,,,,,,,,,,,,
Fall 2005,1220,1296,76,2592,,,,,,,,,,,,,,,,,,,
Spring 2005,1323,1272,77,2672,,,,,,,,,,,,,,,,,,,
Fall 2004,1303,1257,73,2633,,,,,,,,,,,,,,,,,,,
Spring 2004,1387,1324,83,2794,,,,,,,,,,,,,,,,,,,
Fall 2003,1299,1307,115,2721,,,,,,,,,,,,,,,,,,,
Spring 2003,1479,1352,115,2946,,,,,,,,,,,,,,,,,,,
Fall 2002,1387,1339,76,2802,,,,,,,,,,,,,,,,,,,
Spring 2002,1290,1343,76,2709,,,,,,,,,,,,,,,,,,,
Fall 2001,1272,1542,101,2915,,,,,,,,,,,,,,,,,,,
Spring 2001,1287,1483,85,2855,,,,,,,,,,,,,,,,,,,
Fall 2000,1421,1507,90,3018,,,,,,,,,,,,,,,,,,,
Spring 2000,1413,1383,95,2891,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Compiled by the George Washington University Regulatory Studies Center, www.regulatorystudies.gwu.edu",,,,,,,,,,,,,,,,,,,,,,,
"Source: Office of Information and Regulatory Affairs (OIRA), www.reginfo.gov",,,,,,,,,,,,,,,,,,,,,,,
"Updated: July 10, 2023",,,,,,,,,,,,,,,,,,,,,,,
