Presidential Year,Presidential Party,Economically Significant Rules Published by EPA
1981,Republican,0.0
1982,Republican,4.0
1983,Republican,2.0
1984,Republican,0.0
1985,Republican,7.0
1986,Republican,2.0
1987,Republican,7.0
1988,Republican,6.0
1989,Republican,2.0
1990,Republican,11.0
1991,Republican,5.0
1992,Republican,7.0
1993,Democratic,9.0
1994,Democratic,17.0
1995,Democratic,5.0
1996,Democratic,11.0
1997,Democratic,7.0
1998,Democratic,9.0
1999,Democratic,6.0
2000,Democratic,9.0
2001,Republican,0.0
2002,Republican,1.0
2003,Republican,2.0
2004,Republican,7.0
2005,Republican,5.0
2006,Republican,4.0
2007,Republican,2.0
2008,Republican,8.0
2009,Democratic,3.0
2010,Democratic,10.0
2011,Democratic,7.0
2012,Democratic,7.0
2013,Democratic,0.0
2014,Democratic,2.0
2015,Democratic,10.0
2016,Democratic,8.0
2017,Republican,1.0
2018,Republican,1.0
2019,Republican,3.0
2020,Republican,8.0
2021,Democratic,3.0
2022,Democratic,3.0
2023,Democratic,11.0
