published_year,published_month,major_rules_published
1996,4,4
1996,5,4
1996,6,4
1996,7,5
1996,8,9
1996,9,9
1996,10,4
1996,11,5
1996,12,3
1997,1,5
1997,2,8
1997,3,3
1997,4,7
1997,5,7
1997,6,3
1997,7,1
1997,8,5
1997,9,8
1997,10,3
1997,11,6
1997,12,4
1998,1,4
1998,2,7
1998,3,5
1998,4,4
1998,5,4
1998,6,10
1998,7,7
1998,8,7
1998,9,9
1998,10,7
1998,11,5
1998,12,9
1999,1,1
1999,3,8
1999,4,6
1999,5,2
1999,6,4
1999,7,2
1999,8,8
1999,9,6
1999,10,6
1999,11,4
1999,12,3
2000,1,2
2000,2,4
2000,4,3
2000,5,4
2000,6,11
2000,7,8
2000,8,10
2000,9,8
2000,10,8
2000,11,12
2000,12,7
2001,1,22
2001,2,2
2001,3,8
2001,4,3
2001,5,3
2001,6,5
2001,7,3
2001,8,6
2001,9,5
2001,10,5
2001,11,3
2001,12,4
2002,1,4
2002,2,5
2002,3,3
2002,4,2
2002,5,2
2002,6,8
2002,7,2
2002,8,7
2002,9,6
2002,10,6
2002,11,2
2002,12,4
2003,1,4
2003,2,6
2003,4,3
2003,5,2
2003,6,6
2003,7,6
2003,8,4
2003,9,4
2003,10,6
2003,11,5
2003,12,8
2004,1,1
2004,2,6
2004,3,5
2004,4,8
2004,5,3
2004,6,1
2004,7,4
2004,8,6
2004,9,10
2004,10,5
2004,11,7
2004,12,7
2005,1,5
2005,2,1
2005,3,5
2005,4,6
2005,5,2
2005,6,6
2005,7,3
2005,8,7
2005,9,10
2005,10,1
2005,11,5
2005,12,6
2006,1,1
2006,2,1
2006,3,4
2006,4,4
2006,5,8
2006,6,3
2006,7,3
2006,8,8
2006,9,8
2006,10,4
2006,11,4
2006,12,7
2007,1,3
2007,2,2
2007,3,2
2007,4,6
2007,5,4
2007,6,3
2007,7,4
2007,8,11
2007,9,4
2007,10,5
2007,11,8
2007,12,9
2008,1,6
2008,2,3
2008,3,1
2008,4,7
2008,5,9
2008,6,6
2008,7,3
2008,8,8
2008,9,9
2008,10,19
2008,11,14
2008,12,10
2009,1,16
2009,2,2
2009,3,5
2009,4,3
2009,5,4
2009,6,4
2009,7,11
2009,8,7
2009,9,7
2009,10,8
2009,11,9
2009,12,8
2010,1,9
2010,2,4
2010,3,8
2010,4,11
2010,5,7
2010,6,10
2010,7,11
2010,8,10
2010,9,9
2010,10,8
2010,11,9
2010,12,4
2011,1,5
2011,2,5
2011,3,6
2011,4,6
2011,5,3
2011,6,10
2011,7,5
2011,8,10
2011,9,10
2011,10,2
2011,11,13
2011,12,5
2012,1,5
2012,2,7
2012,3,6
2012,4,7
2012,5,8
2012,6,4
2012,7,2
2012,8,10
2012,9,11
2012,10,1
2012,11,7
2013,1,9
2013,2,8
2013,3,5
2013,4,4
2013,5,4
2013,6,3
2013,7,8
2013,8,13
2013,9,8
2013,10,5
2013,11,5
2013,12,9
2014,1,8
2014,2,4
2014,3,5
2014,4,5
2014,5,9
2014,6,4
2014,7,3
2014,8,15
2014,9,8
2014,10,7
2014,11,5
2014,12,9
2015,1,4
2015,2,1
2015,3,3
2015,4,5
2015,5,3
2015,6,7
2015,7,7
2015,8,8
2015,9,8
2015,10,10
2015,11,12
2015,12,9
2016,1,8
2016,2,6
2016,3,11
2016,4,3
2016,5,10
2016,6,11
2016,7,7
2016,8,11
2016,9,7
2016,10,11
2016,11,19
2016,12,15
2017,1,16
2017,3,1
2017,4,2
2017,5,3
2017,6,1
2017,7,4
2017,8,5
2017,9,1
2017,10,2
2017,11,12
2017,12,2
2018,1,3
2018,2,2
2018,3,1
2018,4,4
2018,5,4
2018,6,5
2018,7,4
2018,8,11
2018,9,2
2018,10,2
2018,11,8
2018,12,9
2019,1,3
2019,2,4
2019,3,2
2019,4,3
2019,5,7
2019,6,7
2019,7,10
2019,8,10
2019,9,8
2019,10,5
2019,11,16
2019,12,6
2020,1,10
2020,2,7
2020,3,10
2020,4,14
2020,5,11
2020,6,19
2020,7,12
2020,8,16
2020,9,11
2020,10,12
2020,11,20
2020,12,15
2021,1,25
2021,2,6
2021,3,6
2021,4,8
2021,5,11
2021,6,4
2021,7,6
2021,8,12
2021,9,4
2021,10,8
2021,11,13
2021,12,10
2022,1,5
2022,2,2
2022,3,5
2022,4,5
2022,5,9
2022,6,4
2022,7,8
2022,8,11
2022,9,7
2022,10,9
2022,11,8
2022,12,10
2023,1,2
2023,2,4
2023,3,6
2023,4,4
2023,5,5
2023,6,10
2023,7,7
2023,8,10
2023,9,9
2023,10,13
2023,11,14
2023,12,9
2024,1,12
2024,2,11
2024,3,21
2024,4,16
