Congress,Page Count,Word Count,Public Law Count
94,4119.0,1959666.0,588
95,5403.0,2615715.0,633
96,4948.0,2331477.0,613
97,4339.0,1982634.0,473
98,4889.0,2187411.0,623
99,7205.0,3282060.0,666
100,7851.0,3513194.0,713
101,8287.0,3670798.0,650
102,7540.0,3249657.0,590
103,7547.0,3248009.0,465
104,6476.0,2700359.0,333
105,7365.0,3008872.0,394
106,7456.0,3110331.0,580
107,5657.0,2425101.0,377
108,7028.0,2926597.0,498
109,7416.0,3052965.0,482
110,7771.0,3423333.0,460
111,8097.0,3650873.0,383
112,4475.0,1973775.0,283
113,5342.0,2388640.0,296
114,6248.0,2739807.0,329
115,7994.0,3432663.0,442
116,8501.0,3827126.0,344
117,8809.0,3947924.0,362
118,4428.0,1941440.0,274
