Unified Agenda,Final Rules,Proposed Rules,Prerules,Total
1995 Fall,1330,1509,78,2917
1996 Spring,1374,1455,83,2912
1996 Fall,1360,1344,76,2780
1997 Spring,1393,1285,79,2757
1997 Fall,1202,1405,79,2686
1998 Spring,1252,1436,82,2770
1998 Fall,1196,1443,79,2718
1999 Spring,1288,1462,93,2843
1999 Fall,1214,1441,90,2745
2000 Spring,1413,1383,95,2891
2000 Fall,1421,1507,90,3018
2001 Spring,1287,1438,85,2810
2001 Fall,1272,1542,101,2915
2002 Spring,1290,1343,76,2709
2002 Fall,1387,1339,76,2802
2003 Spring,1479,1352,115,2946
2003 Fall,1299,1307,115,2721
2004 Spring,1387,1324,83,2794
2004 Fall,1303,1257,73,2633
2005 Spring,1323,1272,77,2672
2005 Fall,1220,1296,76,2592
2006 Spring,1197,1311,79,2587
2006 Fall,1162,1155,73,2390
2007 Spring,1105,1259,68,2432
2007 Fall,1122,1226,76,2424
2008 Spring,1132,1272,84,2488
2008 Fall,1166,1214,84,2464
2009 Spring,1111,1271,97,2479
2009 Fall,1165,1370,95,2630
2010 Spring,1123,1464,89,2676
2010 Fall,1197,1420,79,2696
2011 Spring,1276,1509,79,2864
2011 Fall,1177,1399,100,2676
2012,1063,1242,82,2387
2013 Spring,1087,1310,85,2482
2013 Fall,988,1317,92,2397
2014 Spring,1000,1291,98,2389
2014 Fall,988,1231,102,2321
2015 Spring,1054,1171,98,2323
2015 Fall,1042,1099,102,2243
2016 Spring,1034,1092,113,2239
2016 Fall,1018,966,110,2094
2017 Spring,789,834,107,1730
2017 Fall,873,1018,86,1977
2018 Spring,879,1223,122,2224
2018 Fall,876,1390,133,2399
2019 Spring,989,1474,134,2597
2019 Fall,938,1502,162,2602
2020 Spring,1066,1462,170,2698
2020 Fall,1054,1427,158,2639
2021 Spring,983,1424,144,2551
2021 Fall,977,1566,135,2678
2022 Spring,1016,1532,125,2673
2022 Fall,1002,1532,117,2651
2023 Spring,1031,1473,113,2617
2023 Fall,1075,1357,92,2524
2024 Spring,1025,1251,85,2361
2024 Fall,908,1234,91,2233
